Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
1/2/2020,1,$1100.00,$1100.00,$1100.00,$0.00,$0.00,$0.00,$0.00,100.00%,$1100.00,$1100.00,$0.00,$1100.00,$0.00,356.00,$25.00,$1200.00,$100.00,4.76%,
1/13/2020,1,$940.00,$730.00,$730.00,$0.00,$0.00,($440.00),$0.00,100.00%,$730.00,$730.00,$0.00,$730.00,$0.00,398.00,$200.00,$865.00,$135.00,4.76%,
1/6/2020,1,$1380.00,$705.00,$705.00,$0.00,$0.00,$0.00,$0.00,100.00%,$705.00,$705.00,$0.00,$705.00,$0.00,185.00,$20.00,$975.00,$270.00,4.76%,
1/30/2020,1,($1595.00),$210.00,$210.00,$0.00,$0.00,($2975.00),$0.00,100.00%,$210.00,$210.00,$0.00,$210.00,$0.00,34.00,$10.00,$1035.00,$825.00,4.76%,
1/8/2020,1,$1300.00,$185.00,$185.00,$0.00,$0.00,($80.00),$0.00,100.00%,$185.00,$185.00,$0.00,$185.00,$0.00,168.00,$250.00,$575.00,$390.00,4.76%,
1/24/2020,1,($840.00),$40.00,$40.00,$0.00,$0.00,($2220.00),$0.00,100.00%,$40.00,$40.00,$0.00,$40.00,$0.00,91.00,$115.00,$1065.00,$1025.00,4.76%,
1/15/2020,1,$620.00,$25.00,$25.00,$0.00,$0.00,($760.00),$0.00,100.00%,$25.00,$25.00,$0.00,$25.00,$0.00,76.00,$135.00,$410.00,$385.00,4.76%,
1/31/2020,1,($1715.00),($120.00),$0.00,($120.00),$0.00,($3095.00),($120.00),0.00%,($120.00),$0.00,($120.00),$0.00,($120.00),206.00,$765.00,$835.00,$955.00,4.76%,
1/21/2020,1,$25.00,($180.00),$0.00,($180.00),$0.00,($1355.00),($180.00),0.00%,($180.00),$0.00,($180.00),$0.00,($180.00),19.00,$180.00,$50.00,$230.00,4.76%,
1/17/2020,1,$205.00,($200.00),$0.00,($200.00),$0.00,($1175.00),($200.00),0.00%,($200.00),$0.00,($200.00),$0.00,($200.00),23.00,$200.00,$45.00,$245.00,4.76%,
1/29/2020,1,($1805.00),($210.00),$0.00,($210.00),$0.00,($3185.00),($210.00),0.00%,($210.00),$0.00,($210.00),$0.00,($210.00),21.00,$210.00,$60.00,$270.00,4.76%,
1/16/2020,1,$405.00,($215.00),$0.00,($215.00),$0.00,($975.00),($215.00),0.00%,($215.00),$0.00,($215.00),$0.00,($215.00),19.00,$215.00,$20.00,$235.00,4.76%,
1/7/2020,1,$1115.00,($265.00),$0.00,($265.00),$0.00,($265.00),($265.00),0.00%,($265.00),$0.00,($265.00),$0.00,($265.00),20.00,$265.00,$5.00,$270.00,4.76%,
1/10/2020,1,$210.00,($270.00),$0.00,($270.00),$0.00,($1170.00),($270.00),0.00%,($270.00),$0.00,($270.00),$0.00,($270.00),97.00,$270.00,$185.00,$455.00,4.76%,
1/14/2020,1,$595.00,($345.00),$0.00,($345.00),$0.00,($785.00),($345.00),0.00%,($345.00),$0.00,($345.00),$0.00,($345.00),28.00,$345.00,$90.00,$435.00,4.76%,
1/28/2020,1,($1595.00),($360.00),$0.00,($360.00),$0.00,($2975.00),($360.00),0.00%,($360.00),$0.00,($360.00),$0.00,($360.00),83.00,$360.00,$230.00,$590.00,4.76%,
1/27/2020,1,($1235.00),($395.00),$0.00,($395.00),$0.00,($2615.00),($395.00),0.00%,($395.00),$0.00,($395.00),$0.00,($395.00),21.00,$395.00,$50.00,$445.00,4.76%,
1/3/2020,1,$675.00,($425.00),$0.00,($425.00),$0.00,($425.00),($425.00),0.00%,($425.00),$0.00,($425.00),$0.00,($425.00),43.00,$425.00,$50.00,$475.00,4.76%,
1/23/2020,1,($880.00),($430.00),$0.00,($430.00),$0.00,($2260.00),($430.00),0.00%,($430.00),$0.00,($430.00),$0.00,($430.00),54.00,$430.00,$125.00,$555.00,4.76%,
1/22/2020,1,($450.00),($475.00),$0.00,($475.00),$0.00,($1830.00),($475.00),0.00%,($475.00),$0.00,($475.00),$0.00,($475.00),130.00,$475.00,$145.00,$620.00,4.76%,
1/9/2020,1,$480.00,($820.00),$0.00,($820.00),$0.00,($900.00),($820.00),0.00%,($820.00),$0.00,($820.00),$0.00,($820.00),66.00,$820.00,$0.00,$820.00,4.76%,
