Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
NQ 06-26,Buy,1,25889.25,1/23/2026 2:00:00 PM,NT-00029-219,Exit,-,NT-00031-219,Exit on session close,$0.00,1,Backtest,,
NQ 06-26,Sell,1,25924.25,1/23/2026 9:48:00 AM,NT-00028-219,Entry,1 S,NT-00029-219,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,25859.75,1/22/2026 11:57:00 AM,NT-00027-219,Exit,-,NT-00028-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,25919.50,1/22/2026 9:52:00 AM,NT-00026-219,Entry,1 L,NT-00027-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,25362.25,1/21/2026 10:04:00 AM,NT-00025-219,Exit,-,NT-00026-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,25432.25,1/21/2026 9:54:00 AM,NT-00024-219,Entry,1 L,NT-00025-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,25377.75,1/20/2026 3:03:00 PM,NT-00023-219,Exit,-,NT-00024-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,25500.00,1/20/2026 9:46:00 AM,NT-00022-219,Entry,1 S,NT-00023-219,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Buy,1,25939.25,1/16/2026 10:35:00 AM,NT-00021-219,Exit,-,NT-00022-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,25883.50,1/16/2026 9:54:00 AM,NT-00020-219,Entry,1 S,NT-00021-219,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,26056.50,1/15/2026 11:04:00 AM,NT-00019-219,Exit,-,NT-00020-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,26103.50,1/15/2026 9:48:00 AM,NT-00018-219,Entry,1 L,NT-00019-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,25634.75,1/14/2026 10:38:00 AM,NT-00017-219,Exit,-,NT-00018-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,25711.75,1/14/2026 9:48:00 AM,NT-00016-219,Entry,1 L,NT-00017-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,26108.75,1/13/2026 12:58:00 PM,NT-00015-219,Exit,-,NT-00016-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,26121.25,1/13/2026 9:54:00 AM,NT-00014-219,Entry,1 S,NT-00015-219,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,26191.75,1/12/2026 12:32:00 PM,NT-00013-219,Exit,-,NT-00014-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,26173.00,1/12/2026 9:48:00 AM,NT-00012-219,Entry,1 L,NT-00013-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,26103.25,1/9/2026 10:09:00 AM,NT-00011-219,Exit,-,NT-00012-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,26135.25,1/9/2026 9:50:00 AM,NT-00010-219,Entry,1 L,NT-00011-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,25824.50,1/8/2026 11:15:00 AM,NT-00009-219,Exit,-,NT-00010-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,25895.75,1/8/2026 9:51:00 AM,NT-00008-219,Entry,1 L,NT-00009-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,26177.25,1/7/2026 9:52:00 AM,NT-00007-219,Exit,-,NT-00008-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,26203.00,1/7/2026 9:46:00 AM,NT-00006-219,Entry,1 L,NT-00007-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,26037.75,1/6/2026 5:00:00 PM,NT-00005-219,Exit,-,NT-00006-219,Exit on session close,$0.00,1,Backtest,,
NQ 06-26,Buy,1,25998.00,1/6/2026 10:47:00 AM,NT-00004-219,Entry,1 L,NT-00004-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,25805.75,1/5/2026 10:09:00 AM,NT-00003-219,Exit,-,NT-00003-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,25843.00,1/5/2026 9:50:00 AM,NT-00002-219,Entry,1 L,NT-00002-219,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,25534.25,1/2/2026 11:06:00 AM,NT-00001-219,Exit,-,NT-00001-219,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,25540.75,1/2/2026 9:50:00 AM,NT-00000-219,Entry,1 S,NT-00000-219,ORB_Short,$0.00,1,Backtest,,
