Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
NQ 06-26,Buy,1,22555.25,2/24/2025 5:00:00 PM,NT-00067-252,Exit,-,NT-00072-252,Exit on session close,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22726.00,2/24/2025 10:01:00 AM,NT-00066-252,Entry,1 S,NT-00070-252,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22781.25,2/21/2025 2:00:00 PM,NT-00065-252,Exit,-,NT-00069-252,Exit on session close,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22987.25,2/21/2025 9:52:00 AM,NT-00064-252,Entry,1 S,NT-00067-252,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Buy,1,23183.25,2/20/2025 10:10:00 AM,NT-00063-252,Exit,-,NT-00066-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23188.25,2/20/2025 9:51:00 AM,NT-00062-252,Entry,1 S,NT-00065-252,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23316.75,2/19/2025 10:13:00 AM,NT-00061-252,Exit,-,NT-00064-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,23358.75,2/19/2025 9:53:00 AM,NT-00060-252,Entry,1 L,NT-00063-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23283.25,2/18/2025 10:21:00 AM,NT-00059-252,Exit,-,NT-00062-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,23322.75,2/18/2025 9:53:00 AM,NT-00058-252,Entry,1 L,NT-00061-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23287.00,2/14/2025 11:31:00 AM,NT-00057-252,Exit,-,NT-00060-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,23242.00,2/14/2025 9:49:00 AM,NT-00056-252,Entry,1 L,NT-00059-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23063.00,2/13/2025 10:20:00 AM,NT-00055-252,Exit,-,NT-00058-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,23109.50,2/13/2025 9:47:00 AM,NT-00054-252,Entry,1 L,NT-00057-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23015.50,2/12/2025 5:00:00 PM,NT-00053-252,Exit,-,NT-00056-252,Exit on session close,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22914.50,2/12/2025 9:54:00 AM,NT-00052-252,Entry,1 L,NT-00054-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22922.75,2/11/2025 10:34:00 AM,NT-00051-252,Exit,-,NT-00053-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22878.00,2/11/2025 9:54:00 AM,NT-00050-252,Entry,1 S,NT-00052-252,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22931.75,2/10/2025 3:04:00 PM,NT-00049-252,Exit,-,NT-00051-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22983.00,2/10/2025 9:56:00 AM,NT-00048-252,Entry,1 L,NT-00050-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22702.00,2/7/2025 11:22:00 AM,NT-00047-252,Exit,-,NT-00049-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22798.50,2/7/2025 9:50:00 AM,NT-00046-252,Entry,1 L,NT-00048-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22877.25,2/6/2025 11:32:00 AM,NT-00045-252,Exit,-,NT-00047-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22920.50,2/6/2025 9:48:00 AM,NT-00044-252,Entry,1 L,NT-00046-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22844.00,2/5/2025 11:08:00 AM,NT-00043-252,Exit,-,NT-00045-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22809.75,2/5/2025 9:53:00 AM,NT-00042-252,Entry,1 S,NT-00044-252,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22734.50,2/4/2025 1:03:00 PM,NT-00041-252,Exit,-,NT-00043-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22724.00,2/4/2025 9:59:00 AM,NT-00040-252,Entry,1 L,NT-00042-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22669.25,2/3/2025 5:00:00 PM,NT-00039-252,Exit,-,NT-00041-252,Exit on session close,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22553.00,2/3/2025 10:34:00 AM,NT-00038-252,Entry,1 L,NT-00039-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22988.75,1/31/2025 10:23:00 AM,NT-00037-252,Exit,-,NT-00038-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23029.25,1/31/2025 10:04:00 AM,NT-00036-252,Entry,1 S,NT-00037-252,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22747.25,1/30/2025 12:38:00 PM,NT-00035-252,Exit,-,NT-00036-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22673.25,1/30/2025 9:59:00 AM,NT-00034-252,Entry,1 L,NT-00035-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22522.00,1/29/2025 10:06:00 AM,NT-00033-252,Exit,-,NT-00034-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22635.75,1/29/2025 9:47:00 AM,NT-00032-252,Entry,1 S,NT-00033-252,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22639.00,1/28/2025 11:09:00 AM,NT-00031-252,Exit,-,NT-00032-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22683.25,1/28/2025 10:06:00 AM,NT-00030-252,Entry,1 L,NT-00031-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,22286.50,1/27/2025 12:04:00 PM,NT-00029-252,Exit,-,NT-00030-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,22326.75,1/27/2025 9:47:00 AM,NT-00028-252,Entry,1 S,NT-00029-252,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Buy,1,23060.25,1/24/2025 10:16:00 AM,NT-00027-252,Exit,-,NT-00028-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23073.50,1/24/2025 9:55:00 AM,NT-00026-252,Entry,1 S,NT-00027-252,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23062.25,1/23/2025 11:06:00 AM,NT-00025-252,Exit,-,NT-00026-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,23055.00,1/23/2025 9:53:00 AM,NT-00024-252,Entry,1 L,NT-00025-252,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,23167.00,1/22/2025 10:47:00 AM,NT-00023-252,Exit,-,NT-00024-252,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,23168.75,1/22/2025 9:46:00 AM,NT-00022-252,Entry,1 S,NT-00023-252,ORB_Short,$0.00,1,Backtest,,
